Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
136,"Saturday, Sep 4",preview,SFG,,LAD,9:05 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
137,"Sunday, Sep 5",preview,SFG,,LAD,7:08 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
138,"Monday, Sep 6",preview,SFG,@,COL,4:10 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
139,"Tuesday, Sep 7",preview,SFG,@,COL,8:40 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
140,"Wednesday, Sep 8",preview,SFG,@,COL,3:10 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
141,"Friday, Sep 10",preview,SFG,@,CHC,2:20 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
142,"Saturday, Sep 11",preview,SFG,@,CHC,2:20 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
143,"Sunday, Sep 12",preview,SFG,@,CHC,2:20 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
144,"Monday, Sep 13",preview,SFG,,SDP,9:45 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
145,"Tuesday, Sep 14",preview,SFG,,SDP,9:45 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
146,"Wednesday, Sep 15",preview,SFG,,SDP,9:45 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
147,"Thursday, Sep 16",preview,SFG,,SDP,3:45 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
148,"Friday, Sep 17",preview,SFG,,ATL,9:45 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
149,"Saturday, Sep 18",preview,SFG,,ATL,9:05 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
150,"Sunday, Sep 19",preview,SFG,,ATL,4:05 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
151,"Tuesday, Sep 21",preview,SFG,@,SDP,10:10 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
152,"Wednesday, Sep 22",preview,SFG,@,SDP,10:10 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
153,"Thursday, Sep 23",preview,SFG,@,SDP,4:10 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
154,"Friday, Sep 24",preview,SFG,@,COL,8:10 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
155,"Saturday, Sep 25",preview,SFG,@,COL,8:10 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
156,"Sunday, Sep 26",preview,SFG,@,COL,3:10 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
157,"Tuesday, Sep 28",preview,SFG,,ARI,9:45 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
158,"Wednesday, Sep 29",preview,SFG,,ARI,9:45 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
159,"Thursday, Sep 30",preview,SFG,,ARI,9:45 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
160,"Friday, Oct 1",preview,SFG,,SDP,9:45 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
161,"Saturday, Oct 2",preview,SFG,,SDP,4:05 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
162,"Sunday, Oct 3",preview,SFG,,SDP,3:05 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
