away_team,away_score,home_team,home_score
San Diego Padres,3,New York Yankees,12
Cincinnati Reds,1,Atlanta Braves,2
San Francisco Giants,14,Chicago Cubs,5
Baltimore Orioles,1,Minnesota Twins,9
Chicago White Sox,3,Kansas City Royals,4
Houston Astros,3,Milwaukee Brewers,4
Pittsburgh Pirates,1,St. Louis Cardinals,2
Toronto Blue Jays,3,Los Angeles Angels,8
New York Mets,1,Arizona Diamondbacks,5
Seattle Mariners,5,Athletics,3
Detroit Tigers,NA,Colorado Rockies,NA
Cleveland Guardians,8,Washington Nationals,6
Houston Astros,9,Milwaukee Brewers,1
Pittsburgh Pirates,0,St. Louis Cardinals,5
San Francisco Giants,3,Chicago Cubs,1
Seattle Mariners,6,Athletics,5
New York Mets,7,Arizona Diamondbacks,1
Los Angeles Dodgers,10,Miami Marlins,1
Texas Rangers,4,Boston Red Sox,6
Philadelphia Phillies,7,Tampa Bay Rays,0
San Diego Padres,3,New York Yankees,4
Cincinnati Reds,4,Atlanta Braves,3
Baltimore Orioles,2,Minnesota Twins,5
Chicago White Sox,1,Kansas City Royals,2
Detroit Tigers,8,Colorado Rockies,6
Toronto Blue Jays,4,Los Angeles Angels,5
Baltimore Orioles,2,Minnesota Twins,5
Texas Rangers,0,Boston Red Sox,5
Chicago White Sox,0,Kansas City Royals,10
Detroit Tigers,10,Colorado Rockies,2
Detroit Tigers,11,Colorado Rockies,1
Philadelphia Phillies,7,Tampa Bay Rays,6
Cincinnati Reds,4,Atlanta Braves,5
Toronto Blue Jays,8,Los Angeles Angels,5
Los Angeles Dodgers,3,Arizona Diamondbacks,5
Texas Rangers,1,Detroit Tigers,2
Atlanta Braves,2,Pittsburgh Pirates,3
St. Louis Cardinals,10,Washington Nationals,0
Milwaukee Brewers,3,Tampa Bay Rays,4
Chicago Cubs,2,New York Mets,7
Philadelphia Phillies,0,Cleveland Guardians,6
Boston Red Sox,1,Kansas City Royals,2
Miami Marlins,2,Chicago White Sox,6
Cincinnati Reds,0,Houston Astros,3
San Francisco Giants,1,Minnesota Twins,3
San Diego Padres,13,Colorado Rockies,9
Baltimore Orioles,4,Los Angeles Angels,1
Los Angeles Dodgers,14,Arizona Diamondbacks,11
Toronto Blue Jays,6,Seattle Mariners,3
New York Yankees,10,Athletics,2
St. Louis Cardinals,4,Washington Nationals,2
Atlanta Braves,3,Pittsburgh Pirates,2
New York Yankees,7,Athletics,11
Milwaukee Brewers,2,Tampa Bay Rays,3
Texas Rangers,10,Detroit Tigers,3
Philadelphia Phillies,7,Cleveland Guardians,1
